time,uav0_coords,uav0_state,uav1_coords,uav1_state,uav2_coords,uav2_state,uav3_coords,uav3_state,uav4_coords,uav4_state,uav5_coords,uav5_state,uav6_coords,uav6_state
35.05028319358826,"[-19.999767303466797, 9.986059188842773, 10.004114151000977]",,"[-0.02992905117571354, 30.040943145751953, 9.999439239501953]",,"[-10.013018608093262, 69.99481964111328, 10.010987281799316]",,"[39.98422622680664, 24.955055236816406, 10.001484870910645]",,"[-35.04499816894531, -51.01659393310547, 10.003700256347656]",,"[-51.01054000854492, -34.996063232421875, 9.995970726013184]",,"[-51.014427185058594, 0.0006202331278473139, 10.005208015441895]",
35.10100507736206,"[-19.999238967895508, 9.98498821258545, 10.004295349121094]",,"[-0.029400691390037537, 30.04012680053711, 9.999279975891113]",,"[-10.013826370239258, 69.99514770507812, 10.010769844055176]",,"[39.98233413696289, 24.95449447631836, 10.001253128051758]",,"[-35.044281005859375, -51.01607894897461, 10.003522872924805]",,"[-51.01111602783203, -34.99608612060547, 9.995952606201172]",,"[-51.01394271850586, 0.0005740540800616145, 10.004966735839844]",
35.15060210227966,"[-19.998897552490234, 9.984289169311523, 10.004385948181152]",,"[-0.0281091146171093, 30.03810691833496, 9.998795509338379]",,"[-10.014161109924316, 69.99522399902344, 10.01066780090332]",,"[39.98113250732422, 24.954246520996094, 10.001343727111816]",,"[-35.04273223876953, -51.015106201171875, 10.003358840942383]",,"[-51.011905670166016, -34.9960823059082, 9.995977401733398]",,"[-51.01296615600586, 0.0004604975983966142, 10.00450325012207]",
35.20029616355896,"[-19.998395919799805, 9.983384132385254, 10.004646301269531]",,"[-0.02754627726972103, 30.03726577758789, 9.998581886291504]",,"[-10.014870643615723, 69.99545288085938, 10.010601043701172]",,"[39.97949981689453, 24.9540958404541, 10.001371383666992]",,"[-35.0419921875, -51.01471710205078, 10.003358840942383]",,"[-51.012203216552734, -34.99607849121094, 9.99600887298584]",,"[-51.01233673095703, 0.0004100279475096613, 10.00417709350586]",
35.25036811828613,"[-19.998044967651367, 9.98292350769043, 10.0048828125]",,"[-0.026189357042312622, 30.03523063659668, 9.998237609863281]",,"[-10.015190124511719, 69.99560546875, 10.010645866394043]",,"[39.9786376953125, 24.954179763793945, 10.001379013061523]",,"[-35.040409088134766, -51.01394271850586, 10.003301620483398]",,"[-51.01279830932617, -34.99603271484375, 9.99603271484375]",,"[-51.01115798950195, 0.0003500948951113969, 10.00345516204834]",
35.301640033721924,"[-19.997480392456055, 9.982156753540039, 10.005491256713867]",,"[-0.025048943236470222, 30.033485412597656, 9.998270988464355]",,"[-10.015814781188965, 69.99594116210938, 10.010677337646484]",,"[39.97699737548828, 24.954343795776367, 10.001365661621094]",,"[-35.03940200805664, -51.013465881347656, 10.003264427185059]",,"[-51.013099670410156, -34.996036529541016, 9.995994567871094]",,"[-51.0098762512207, 0.00029563045245595276, 10.002973556518555]",
35.35051202774048,"[-19.996784210205078, 9.981306076049805, 10.006263732910156]",,"[-0.024296123534440994, 30.032325744628906, 9.998273849487305]",,"[-10.016114234924316, 69.99610137939453, 10.010767936706543]",,"[39.976356506347656, 24.954437255859375, 10.001288414001465]",,"[-35.03774642944336, -51.012786865234375, 10.003171920776367]",,"[-51.01375198364258, -34.99604415893555, 9.995810508728027]",,"[-51.009307861328125, 0.00026236657868139446, 10.002976417541504]",
35.401992082595825,"[-19.996400833129883, 9.980847358703613, 10.006711959838867]",,"[-0.023129472509026527, 30.030532836914062, 9.998393058776855]",,"[-10.016849517822266, 69.99652862548828, 10.010946273803711]",,"[39.97492599487305, 24.954870223999023, 10.001041412353516]",,"[-35.0366325378418, -51.01236343383789, 10.003021240234375]",,"[-51.014041900634766, -34.99604034423828, 9.99575424194336]",,"[-51.00876998901367, 0.00023487531871069223, 10.002985954284668]",
35.450358152389526,"[-19.995704650878906, 9.980125427246094, 10.007256507873535]",,"[-0.02259572222828865, 30.02971649169922, 9.998419761657715]",,"[-10.017257690429688, 69.99678802490234, 10.010889053344727]",,"[39.97440719604492, 24.955093383789062, 10.000926971435547]",,"[-35.034881591796875, -51.01176834106445, 10.002753257751465]",,"[-51.01466751098633, -34.99602127075195, 9.995506286621094]",,"[-51.007362365722656, 0.00013795908307656646, 10.002930641174316]",
35.50050711631775,"[-19.995346069335938, 9.97983455657959, 10.007458686828613]",,"[-0.021782636642456055, 30.028507232666016, 9.998412132263184]",,"[-10.017948150634766, 69.99732971191406, 10.01075267791748]",,"[39.973411560058594, 24.9556827545166, 10.000602722167969]",,"[-35.03373336791992, -51.011375427246094, 10.002543449401855]",,"[-51.01490020751953, -34.99602127075195, 9.995442390441895]",,"[-51.006771087646484, 0.00011075485963374376, 10.002944946289062]",
35.55024719238281,"[-19.994970321655273, 9.979554176330566, 10.007662773132324]",,"[-0.020568545907735825, 30.02669906616211, 9.998245239257812]",,"[-10.018240928649902, 69.99758911132812, 10.010662078857422]",,"[39.97306442260742, 24.956050872802734, 10.000463485717773]",,"[-35.03200149536133, -51.01078796386719, 10.002233505249023]",,"[-51.015380859375, -34.99601364135742, 9.995146751403809]",,"[-51.00553894042969, 0.00010793737601488829, 10.002836227416992]",
35.600229024887085,"[-19.994020462036133, 9.978920936584473, 10.008149147033691]",,"[-0.019930776208639145, 30.025741577148438, 9.998185157775879]",,"[-10.018815994262695, 69.99816131591797, 10.010518074035645]",,"[39.972442626953125, 24.956933975219727, 10.000116348266602]",,"[-35.030921936035156, -51.01043701171875, 10.002071380615234]",,"[-51.01557540893555, -34.99602508544922, 9.995009422302246]",,"[-51.004722595214844, 0.00013539803330786526, 10.002704620361328]",
35.6505651473999,"[-19.993091583251953, 9.9784574508667, 10.008527755737305]",,"[-0.018641747534275055, 30.023820877075195, 9.998007774353027]",,"[-10.01900577545166, 69.99835968017578, 10.010465621948242]",,"[39.972225189208984, 24.957639694213867, 9.999957084655762]",,"[-35.02888107299805, -51.00984191894531, 10.001702308654785]",,"[-51.01578140258789, -34.996036529541016, 9.994802474975586]",,"[-51.003318786621094, 0.00023745409271214157, 10.002476692199707]",
35.70050001144409,"[-19.992294311523438, 9.978228569030762, 10.00861930847168]",,"[-0.01796930842101574, 30.02287483215332, 9.997920989990234]",,"[-10.019366264343262, 69.99893951416016, 10.010210990905762]",,"[39.972103118896484, 24.958969116210938, 9.999728202819824]",,"[-35.02777862548828, -51.009490966796875, 10.00151538848877]",,"[-51.015811920166016, -34.99605178833008, 9.994708061218262]",,"[-51.00274658203125, 0.00032953749177977443, 10.002368927001953]",
35.75043201446533,"[-19.991098403930664, 9.978019714355469, 10.008771896362305]",,"[-0.01649845950305462, 30.020875930786133, 9.997607231140137]",,"[-10.01948356628418, 69.99923706054688, 10.010083198547363]",,"[39.97209167480469, 24.959688186645508, 9.999597549438477]",,"[-35.02595138549805, -51.00886917114258, 10.001241683959961]",,"[-51.015838623046875, -34.995975494384766, 9.9943208694458]",,"[-51.00139236450195, 0.0006458864081650972, 10.002090454101562]",
